full_name,forks,open_issues,watchers,size,has_wiki,has_pages,stars
chen08209/FlClash,2415,772,124,53769,0,0,38939
freeCodeCamp/devdocs,2601,234,672,32607,0,0,38911
Dogfalo/materialize,4641,793,940,165568,1,1,38879
exelban/stats,1322,11,136,59031,0,0,38865
abhigyanpatwari/GitNexus,4432,304,140,28272,1,0,38679
XTLS/Xray-core,5391,49,408,30079,1,0,38677
halo-dev/halo,10260,178,478,86643,0,0,38632
preactjs/preact,2033,151,388,18915,1,1,38624
gkd-kit/gkd,1840,11,110,4530,0,0,38616
google/googletest,10775,552,1250,14123,0,1,38612
CorentinTh/it-tools,4873,788,153,13572,1,0,38606
outline/outline,3295,68,179,317205,0,0,38514
pola-rs/polars,2832,2746,216,206146,0,1,38511
ManimCommunity/manim,2843,515,50,47457,1,0,38427
juanfont/headscale,2107,112,188,38674,0,1,38419
Lordog/dive-into-llms,4709,13,238,136064,1,0,38416
Kong/insomnia,2285,838,239,149919,1,1,38409
vadimdemedes/ink,989,28,123,2186,0,0,38403
gto76/python-cheatsheet,6730,0,962,13476,1,1,38401
lapce/lapce,1270,880,191,28748,0,1,38392
llvm/llvm-project,17163,36159,564,4005976,0,0,38363
RSSNext/Folo,2050,371,146,75557,1,0,38310
duckdb/duckdb,3241,598,265,441913,0,0,38250
ant-design/ant-design-pro,8243,28,739,43979,1,1,38234
PhilJay/MPAndroidChart,8995,2190,1097,21593,1,0,38211
istio/istio,8300,462,952,296433,1,0,38203
rapid7/metasploit-framework,14858,629,2052,1218539,1,1,38201
impress/impress.js,6604,59,1195,4390,1,1,38181
TeamNewPipe/NewPipe,3580,1401,610,88038,1,0,38170
sxyazi/yazi,868,61,91,7953,0,0,38145
httpie/cli,3956,285,114,6925,0,0,38144
kilimchoi/engineering-blogs,2009,147,1058,1339,1,0,38116
naptha/tesseract.js,2366,45,477,109272,0,1,38081
chatchat-space/Langchain-Chatchat,6212,28,289,144496,1,0,38035
spacedriveapp/spacedrive,1284,32,220,271488,0,0,38029
chatanywhere/GPT_API_free,2645,16,168,5578,1,0,37984
dotnet/aspnetcore,10651,3927,1408,378809,1,0,37931
google-research/google-research,8409,1917,767,1189104,0,1,37925
ToolJet/ToolJet,5068,1012,195,1633210,0,0,37910
huihut/interview,8112,2,849,5713,1,1,37809
sickn33/antigravity-awesome-skills,6178,1,301,54362,1,1,37765
FreeCodeCampChina/freecodecamp.cn,1414,159,780,30959,1,0,37704
huiyadanli/RevokeMsgPatcher,3989,51,274,3755,1,0,37624
denysdovhan/wtfjs,2693,44,569,1501,0,0,37600
vlang/v,2244,97,458,107002,1,0,37579
GyulyVGC/sniffnet,1513,58,153,342612,1,0,37558
ShareX/ShareX,3738,643,544,68058,0,0,37551
qbittorrent/qBittorrent,4682,2601,433,306646,1,0,37505
NervJS/taro,4885,1721,677,1593998,1,1,37475
portainer/portainer,2821,743,475,86767,0,0,37455
TencentARC/GFPGAN,6279,403,510,5467,1,0,37450
MHSanaei/3x-ui,7049,585,255,40318,1,1,37420
deepseek-ai/awesome-deepseek-integration,4104,71,389,80206,0,0,37411
LAION-AI/Open-Assistant,3304,296,430,35477,0,1,37408
sqlmapproject/sqlmap,6260,62,1103,87571,1,1,37395
docker/compose,5807,108,701,27858,0,0,37390
eugenp/tutorials,53571,29,1476,119119,1,0,37349
alibaba/arthas,7636,473,1110,66738,1,1,37310
ashishps1/awesome-system-design-resources,8045,12,453,2340,1,0,37290
exacity/deeplearningbook-chinese,9140,67,2175,8908,1,1,37269
0voice/interview_internal_reference,9390,36,1479,1161,1,0,37225
drawdb-io/drawdb,3007,215,135,7022,0,0,37219
openai/gym,8701,128,1039,7125,1,0,37203
amruthpillai/reactive-resume,4189,66,120,211126,0,1,37192
YunaiV/ruoyi-vue-pro,8052,5,262,192323,1,0,37135
danny-avila/LibreChat,7637,448,191,172974,1,1,37114
aseprite/aseprite,8065,1958,446,47084,0,0,37043
PKUanonym/REKCARC-TSC-UHT,7846,3,878,4721748,1,0,37032
LizardByte/Sunshine,1932,112,143,62649,0,1,37012
fengdu78/Coursera-ML-AndrewNg-Notes,11181,68,1001,662586,1,1,36951
AobingJava/JavaFamily,7784,6,1123,420,1,0,36947
satwikkansal/wtfpython,2668,70,704,1464,1,0,36938
alebcay/awesome-shell,2517,163,750,653,1,0,36917
karpathy/LLM101n,2021,19,3,275,0,0,36916
babysor/MockingBird,5217,482,300,130787,1,0,36901
huggingface/pytorch-image-models,5162,66,317,30792,1,1,36809
markedjs/marked,3532,13,383,10848,0,0,36802
ueberdosis/tiptap,2981,894,172,80546,0,0,36801
servo/servo,3628,3106,497,1924034,1,0,36741
mattermost/mattermost,8620,872,530,1035812,0,0,36728
umami-software/umami,7118,129,130,28589,1,0,36694
inkonchain/docs,466,58,61,23288,0,0,36682
ajeetdsouza/zoxide,823,155,71,4420,1,0,36681
shadowsocks/shadowsocks-android,11492,70,1545,53838,1,0,36642
inkonchain/node,635,23,96,236,0,0,36622
xyflow/xyflow,2403,122,131,43988,0,0,36616
date-fns/date-fns,1945,926,202,24034,0,0,36568
inkonchain/ink-kit,430,3,0,1109,0,0,36535
myshell-ai/OpenVoice,4079,302,255,3944,1,0,36518
typeorm/typeorm,6554,529,335,40821,1,0,36485
google/langextract,2511,105,161,10705,0,0,36478
ZhuLinsen/daily_stock_analysis,35834,48,165,69352,0,0,36443
open-guides/og-aws,3903,161,1190,7680,0,0,36414
siddharthvaddem/openscreen,2473,56,80,163113,1,0,36345
hankcs/HanLP,10894,12,1118,72904,1,0,36309
fastify/fastify,2684,135,299,10172,0,0,36252
SheetJS/sheetjs,7952,132,594,105796,0,1,36251
formulahendry/955.WLB,1744,202,722,120,1,0,36230
slatedocs/slate,371,50,489,1323,1,0,36124
reworkd/AgentGPT,9353,219,329,91869,0,0,36102
jaywcjlove/linux-command,6599,81,552,4225620,0,1,36093
geekxh/hello-algorithm,6426,11,645,365053,1,0,36078
pbatard/rufus,3052,11,608,45959,1,1,36078
TriliumNext/Trilium,2406,792,278,571215,1,0,36075
lerna/lerna,2271,325,247,41518,0,0,36072
DioxusLabs/dioxus,1658,652,172,52805,0,0,36058
carbon-app/carbon,1974,81,246,21055,0,0,36021
veggiemonk/awesome-docker,3302,23,723,14686,0,1,36021
doocs/leetcode,9415,3,336,780946,0,1,36012
Textualize/textual,1200,281,179,497091,1,1,35934
XingangPan/DragGAN,3428,153,967,34847,1,0,35861
harness/harness,3127,92,531,59475,0,1,35859
hyprwm/Hyprland,1737,183,137,75852,1,0,35844
opentofu/manifesto,1037,20,62,1858,0,1,35784
directus/directus,4762,408,331,441995,0,0,35723
koajs/koa,3215,38,801,4273,1,0,35713
anthropics/prompt-eng-interactive-tutorial,3827,68,323,5584,1,0,35710
jondot/awesome-react-native,4021,124,1079,5250,1,1,35684
mouredev/Hello-Python,2298,35,509,5715,1,0,35660
junegunn/vim-plug,1948,83,365,8823,1,0,35656
RVC-Project/Retrieval-based-Voice-Conversion-WebUI,5045,734,220,14585,1,0,35629
hashicorp/vault,4668,1493,778,352131,0,0,35622
jax-ml/jax,3578,2369,330,168764,0,0,35620
airbnb/lottie-android,5433,58,834,137398,0,0,35612
solidjs/solid,1060,25,216,17328,1,0,35524
wshobson/agents,3866,7,318,4290,1,0,35518
zsh-users/zsh-autosuggestions,1930,199,179,583,1,0,35506
1Panel-dev/1Panel,3165,404,189,104757,0,0,35483
alvarotrigo/fullPage.js,7140,127,816,17123,1,0,35446
xinntao/Real-ESRGAN,4332,640,244,5514,1,0,35436
microsoft/Data-Science-For-Beginners,7198,4,532,1873855,0,1,35348
nativefier/nativefier,2241,258,2,6372,0,0,35316
HKUDS/LightRAG,4992,231,209,90886,0,0,35291
mpv-player/mpv,3337,1128,497,119548,1,0,35249
google-ai-edge/mediapipe,5977,607,529,607509,1,1,35224
sahat/hackathon-starter,8170,7,724,16351,0,0,35212
HKUDS/CLI-Anything,3464,52,150,35129,0,1,35196
datalab-to/marker,2443,409,124,18463,1,0,35149
unknwon/the-way-to-go_ZH_CN,8538,46,1240,12602,0,0,35107
pnpm/pnpm,1447,2284,148,206467,0,0,35094
ryanhanwu/How-To-Ask-Questions-The-Smart-Way,5835,11,418,380,0,0,35079
alan2207/bulletproof-react,3189,40,248,2249,1,0,35067
patchy631/ai-engineering-hub,5833,115,441,275730,1,0,35066
typicode/husky,1082,103,152,4846,0,1,35066
geekan/HowToLiveLonger,2377,41,247,71,1,0,35048
bumptech/glide,6174,638,1024,97841,1,1,35024
aquasecurity/trivy,376,250,206,935206,0,1,35023
schollz/croc,1383,13,249,25232,0,0,35021
geekcomputers/Python,12930,498,2411,49998,1,0,35015
nextcloud/server,4873,3410,545,6556968,1,1,35009
sorrycc/awesome-javascript,4539,18,1025,949,0,0,34969
netty/netty,16249,640,1677,110179,1,0,34955
fxsjy/jieba,6697,700,1254,56033,1,0,34955
kuchin/awesome-cto,2188,3,776,151,1,1,34919
gchq/CyberChef,3948,566,394,88953,1,1,34860
jqlang/jq,1787,459,348,7547,1,1,34745
filebrowser/filebrowser,3842,42,330,23828,0,1,34736
refinedev/refine,3045,35,144,8284923,0,1,34719
laravel/framework,11879,104,927,100415,0,0,34710
BVLC/caffe,18487,1175,2057,76170,1,1,34599
khoj-ai/khoj,2202,99,167,117335,0,1,34575
PostHog/posthog,2738,4098,132,5061498,0,1,34525
stanfordnlp/dspy,2900,477,195,179028,1,0,34478
facebookresearch/detectron2,7936,587,392,6871,0,0,34473
ItzCrazyKns/Vane,3770,306,190,113096,0,0,34436
keycloak/keycloak,8353,2837,396,590950,0,0,34433
drizzle-team/drizzle-orm,1390,1770,86,53044,1,0,34404
firecracker-microvm/firecracker,2393,83,348,39730,0,0,34399
jaredpalmer/formik,2785,836,225,17152,0,0,34365
nodejs/node-v0.x-archive,7235,0,32,144238,1,0,34310
xitu/gold-miner,5003,14,1243,80499,1,0,34309
bytedance/UI-TARS-desktop,3425,392,262,192831,0,1,34300
qishibo/AnotherRedisDesktopManager,2706,183,265,5533,1,0,34285
python-poetry/poetry,2443,555,184,25004,0,0,34273
TheAlgorithms/C-Plus-Plus,7805,36,509,140614,0,1,34254
GorvGoyl/Clone-Wars,3067,34,547,1904,1,1,34210
glanceapp/glance,1321,319,78,20378,0,0,34192
testerSunshine/12306,9658,280,1,58570,1,0,34177
TheAlgorithms/JavaScript,5856,200,621,3007,1,0,34166
zenorocha/clipboard.js,3915,15,411,3631,1,1,34157
chenfei-wu/TaskMatrix,3226,257,293,41169,1,0,34128
wailsapp/wails,1685,406,152,407146,0,1,34126
xkcoding/spring-boot-demo,10944,142,1006,14194,1,0,34101
utmapp/UTM,1709,1032,381,50652,1,0,34094
CMU-Perceptual-Computing-Lab/openpose,8053,359,902,86496,1,1,34087
SeleniumHQ/selenium,8680,183,1249,2361763,1,1,34082
musistudio/claude-code-router,2775,927,126,13894,1,1,34078
ehang-io/nps,6081,525,471,9168,1,1,34056
Yeachan-Heo/oh-my-claudecode,3120,6,126,56621,1,0,34047
Dokploy/dokploy,2467,536,102,29893,1,0,34044
AdguardTeam/AdGuardHome,2333,1315,321,28746,1,0,34026
ZuodaoTech/everyone-can-use-english,4750,105,310,278757,1,0,34019
atlassian/react-beautiful-dnd,2716,642,2,14804,0,0,34001
v2fly/v2ray-core,5053,43,444,69363,0,0,33944
zxing/zxing,9429,3,1648,243581,1,1,33943
awesome-foss/awesome-sysadmin,2019,62,620,1322,0,0,33927
frappe/erpnext,11252,2067,667,1672810,1,0,33916
lllyasviel/ControlNet,3017,462,221,125281,1,0,33884
SagerNet/sing-box,4001,250,188,20016,0,1,33871
anoma/anoma,4116,120,192,78462,1,1,33866
IceWhaleTech/CasaOS,1910,797,199,182856,1,0,33840
songquanpeng/one-api,6468,1006,165,15963,1,0,33826
QuantumNous/new-api,7473,829,97,35117,0,0,33811
PDFMathTranslate/PDFMathTranslate,3041,123,120,54517,1,0,33801
halfrost/LeetCode-Go,5739,23,615,19315,1,0,33795
Pythagora-io/gpt-pilot,3494,247,297,359723,1,0,33773
alibaba/easyexcel,7598,569,17,26334,1,0,33721
balena-io/etcher,2364,671,444,101184,1,1,33717
carbon-language/carbon-lang,1534,226,359,104483,1,1,33704
casey/just,787,306,100,16667,0,1,33697
Blankj/AndroidUtilCode,10654,327,1158,47329,0,1,33678
nothings/stb,8052,403,638,5854,0,0,33659
ocrmypdf/OCRmyPDF,2333,144,190,69784,1,0,33649
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,7139,64,687,879,1,1,33644
derailed/k9s,2162,198,154,62657,1,0,33633
huggingface/diffusers,6989,1130,215,97083,1,0,33633
shadowsocks/shadowsocks,18148,450,2021,891,1,0,33591
explosion/spaCy,4682,204,560,203709,0,0,33579
lib-pku/libpku,8228,14,1292,714371,1,0,33576
restic/restic,1752,534,226,70801,0,0,33547
TabbyML/tabby,1745,315,183,112194,0,1,33524
openai/CLIP,4009,273,326,9143,0,0,33504
fish-shell/fish-shell,2300,549,280,175253,1,0,33462
AFNetworking/AFNetworking,10597,102,3,6129,1,0,33459
XX-net/XX-Net,7573,7919,1608,60663,1,0,33457
pcottle/learnGitBranching,5970,60,507,63008,1,1,33452
bayandin/awesome-awesomeness,3599,54,1624,381,0,0,33431
swc-project/swc,1390,413,148,446071,0,0,33414
backstage/backstage,7332,492,232,5196863,0,1,33358
mli/paper-reading,2808,1,813,9001,0,0,33275
mckaywrigley/chatbot-ui,9438,238,265,3644,0,0,33244
medusajs/medusa,4439,175,190,765860,1,0,33233
luongnv89/claude-howto,4066,29,140,12860,1,1,33231
continuedev/continue,4518,770,153,870660,0,0,33226
vercel-labs/agent-browser,2061,471,94,17043,1,0,33209
MonitorControl/MonitorControl,968,24,168,30047,1,1,33196
SerenityOS/serenity,3327,748,357,240903,0,0,33180
github/awesome-copilot,4046,32,338,63725,0,1,33161
bilibili/ijkplayer,8237,2895,1163,8283,1,0,33152
OpenBMB/ChatDev,4104,54,358,377780,0,0,33109
lissy93/web-check,2674,82,169,27951,1,0,33102
router-for-me/CLIProxyAPI,5502,359,81,14790,0,0,33066
immutable-js/immutable-js,1845,123,484,147575,1,1,33061
adobe/brackets,7492,2778,24,92974,1,0,33053
certbot/certbot,3494,189,734,73707,1,0,33034
microsoft/graphrag,3499,118,196,206018,1,1,33032
k3s-io/k3s,2659,142,283,590635,1,0,33025
zeromicro/go-zero,4295,275,309,32906,0,0,33009
remix-run/remix,2768,62,268,83223,0,0,32977
gulpjs/gulp,4156,34,1005,1117,0,0,32974
kovidgoyal/kitty,1370,12,187,73136,1,0,32971
raysan5/raylib,3098,18,313,420270,1,0,32964
google/comprehensive-rust,2010,166,150,27997,0,1,32963
alibaba/nacos,13279,252,892,90344,1,0,32954
ibraheemdev/modern-unix,830,68,397,72,1,0,32916
lutzroeder/netron,3118,19,316,95453,0,0,32896
shadowsocks/ShadowsocksX-NG,7813,314,930,50660,1,1,32887
cursor/cursor,2241,1,245,1655,0,0,32879
qier222/YesPlayMusic,4706,648,217,48857,1,0,32865
NginxProxyManager/nginx-proxy-manager,3742,923,213,22326,0,0,32852
binarywang/WxJava,9066,34,1340,19751,1,0,32788
tinygrad/tinygrad,4111,182,284,113210,0,1,32704
open-mmlab/mmdetection,9837,1959,364,64771,1,0,32692
zellij-org/zellij,1194,1693,112,158454,1,0,32660
yewstack/yew,1458,115,287,21996,0,1,32633
apache/kafka,15196,348,1043,290954,0,0,32618
microsoft/playwright-mcp,2677,4,123,1989,0,0,32614
floating-ui/floating-ui,1678,49,246,41269,1,0,32596
nicolargo/glances,1736,100,499,55308,1,1,32557
0xAX/linux-insides,3523,31,1311,21397,0,0,32553
ziadoz/awesome-php,5146,68,1677,1452,0,0,32528
valinet/ExplorerPatcher,1316,333,279,9438,1,0,32502
AstrBotDevs/AstrBot,2227,1124,76,63733,1,0,32419
beego/beego,5588,19,1147,11992,1,0,32404
labstack/echo,2318,94,517,6955,1,0,32385
vbenjs/vue-vben-admin,8768,103,275,45595,1,1,32383
vercel/swr,1335,195,212,8231,0,0,32382
yunjey/pytorch-tutorial,8243,88,620,13110,1,0,32347
seaweedfs/seaweedfs,2817,729,523,186375,1,1,32325
microsoft/WSL,1720,944,587,54695,0,1,32311
aristocratos/btop,1014,482,124,9873,1,0,32264
lovell/sharp,1405,125,225,60053,0,0,32229
facebookresearch/fairseq,6683,1353,421,26071,0,0,32220
langchain-ai/langgraph,5465,561,158,520228,0,1,32219
google/material-design-lite,4926,430,1149,56990,1,0,32173
cockroachdb/cockroach,4123,8312,656,3262134,1,0,32162
linera-io/linera-protocol,2355,651,191,231517,0,1,32146
surrealdb/surrealdb,1265,654,157,52970,0,0,32132
lizongying/my-tv,3615,146,222,72954,1,0,32122
microsoft/MS-DOS,4634,3,4,120196,0,0,32109
The-Run-Philosophy-Organization/run,2563,47,381,411061,1,0,32073
numpy/numpy,12373,2376,599,175307,1,0,32045
OWASP/CheatSheetSeries,4453,49,563,2340584,0,1,32034
tokio-rs/tokio,3055,422,315,17148,0,0,32011
linexjlin/GPTs,4393,13,340,718,1,0,31990
blakeblackshear/frigate,3090,124,241,121916,1,1,31978
motiondivision/motion,1170,121,112,1659940,0,0,31970
hasura/graphql-engine,2880,2370,314,5194959,1,1,31967
dokku/dokku,2034,29,337,23690,1,0,31880
niklasvh/html2canvas,4885,1051,494,117300,0,1,31854
airbnb/lottie-web,2921,847,441,358131,1,0,31849
Trinea/android-open-project,11847,31,3515,2181,1,0,31830
conductor-oss/conductor,894,166,48,38683,0,1,31829
kubernetes/minikube,5223,605,471,300159,0,0,31805
telegramdesktop/tdesktop,6717,984,897,274720,1,1,31797
codex-team/editor.js,2236,690,244,20680,0,0,31760
amix/vimrc,7265,21,771,32472,1,0,31760
waydabber/BetterDisplay,605,145,83,15831,1,1,31751
containers/podman,3113,1081,221,178861,1,0,31703
pear-devs/pear-desktop,1814,656,164,21689,1,0,31693
facebook/rocksdb,6827,1510,982,240544,1,1,31683
ianstormtaylor/slate,3322,658,296,26789,0,0,31679
ReactiveX/rxjs,2992,295,444,49357,0,0,31678
kepano/obsidian-skills,2196,38,190,42,1,0,31675
Chanzhaoyu/chatgpt-web,10855,1,1,6223,1,0,31671
tailscale/tailscale,2566,4297,200,80580,1,0,31639
hehonghui/awesome-english-ebooks,2602,0,752,14490446,1,0,31601
alpinejs/alpine,1364,1,223,8967,0,0,31579
DevToys-app/DevToys,1750,330,157,229285,0,0,31525
influxdata/influxdb,3705,2144,702,209657,0,0,31502
VectifyAI/PageIndex,2694,154,134,24277,0,0,31498
ValveSoftware/Proton,1441,5084,386,153142,1,0,31497
dgtlmoon/changedetection.io,1778,334,104,24482,1,0,31484
CopilotKit/CopilotKit,4068,480,159,743449,1,0,31471
eriklindernoren/ML-From-Scratch,5270,73,966,553,1,0,31467
shardeum/shardeum,705,87,295,29293,0,0,31448
VSCodium/vscodium,1709,131,232,33177,0,0,31446
coolsnowwolf/lede,19343,841,713,319573,1,0,31445
donnemartin/interactive-coding-challenges,4638,75,959,7768,1,0,31431
zeroclaw-labs/zeroclaw,4620,485,69,98165,1,1,31396
iawia002/lux,3302,542,380,2566,0,0,31365
qdrant/qdrant,2268,534,150,52540,0,1,31359
mathiasbynens/dotfiles,8526,188,653,850,0,0,31343
refined-github/refined-github,1754,114,226,27627,1,0,31343
XIU2/TrackersListCollection,1783,1,332,17211,0,1,31298
parallax/jsPDF,4801,112,471,142705,0,1,31226
docsifyjs/docsify,5818,103,266,30696,1,1,31207
fabricjs/fabric.js,3626,464,463,247708,1,0,31164
tqdm/tqdm,1448,612,210,6053,1,1,31156
Lightning-AI/pytorch-lightning,3723,1010,257,133715,0,0,31142
